experiment,model,seed,train_size,test_size,training_seconds,inference_seconds,preprocessing,parameters,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,author_printed_recall,author_printed_precision
A_author_cleaned_code_grid,LR,0,271,68,0.004469000000426604,0.00010299999939888949,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9411764705882353,0.9407149084568439,0.9459459459459459,0.9459459459459459,0.9354838709677419,0.9459459459459459,0.8814298169136879,0.993025283347864,0.9947034947034945,29,2,2,35,0.9354838709677419,0.9354838709677419
A_author_cleaned_code_grid,LR,1,271,68,0.0037369580004451564,8.670800070831319e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9558823529411765,0.9594594594594594,0.9117647058823529,1.0,0.918918918918919,0.9538461538461539,0.9153348228041135,0.992153443766347,0.990337989941914,34,3,0,31,1.0,0.918918918918919
A_author_cleaned_code_grid,LR,2,271,68,0.0035617500006992486,8.416699984081788e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9852941176470589,0.9833333333333334,1.0,0.9666666666666667,1.0,0.9830508474576272,0.9705051993061871,1.0,1.0,38,0,1,29,0.9743589743589743,1.0
A_author_cleaned_code_grid,LR,3,271,68,0.003454916000009689,9.837500056164572e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9558823529411765,0.9558823529411764,0.9696969696969697,0.9411764705882353,0.9705882352941176,0.9552238805970149,0.9121593238215746,0.9948096885813149,0.9950433244550893,33,1,2,32,0.9428571428571428,0.9705882352941176
A_author_cleaned_code_grid,LR,4,271,68,0.003194916999746056,8.812499982013833e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9705882352941176,0.9705882352941176,0.9444444444444444,1.0,0.9411764705882353,0.9714285714285714,0.9428090415820634,0.990484429065744,0.9894762538750741,32,2,0,34,1.0,0.9411764705882353
A_author_cleaned_code_grid,LR,5,271,68,0.003078834000007191,8.558399986213772e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.8676470588235294,0.8676470588235294,0.8571428571428571,0.8823529411764706,0.8529411764705882,0.8695652173913043,0.7356123579206246,0.9688581314878892,0.9686726031192601,29,5,4,30,0.8787878787878788,0.8529411764705882
A_author_cleaned_code_grid,LR,6,271,68,0.005032375000155298,0.00010237500009679934,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9558823529411765,0.9562770562770563,0.9411764705882353,0.9696969696969697,0.9428571428571428,0.9552238805970149,0.9121593238215746,0.9904761904761905,0.9917239623121975,33,2,1,32,0.9705882352941176,0.9428571428571428
A_author_cleaned_code_grid,LR,7,271,68,0.0024520829992979998,8.566599990444956e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9264705882352942,0.9259740259740259,0.9375,0.9090909090909091,0.9428571428571428,0.9230769230769231,0.8530566380408909,0.9844155844155844,0.9827939221790132,33,2,3,30,0.9166666666666666,0.9428571428571428
A_author_cleaned_code_grid,LR,8,271,68,0.003893624999363965,8.737499956623651e-05,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9558823529411765,0.9535087719298245,0.9655172413793104,0.9333333333333333,0.9736842105263158,0.9491525423728814,0.9106192160459141,0.9964912280701755,0.9957661290322581,37,1,2,28,0.9487179487179487,0.9736842105263158
A_author_cleaned_code_grid,LR,9,271,68,0.00563358299950778,0.0001262499999938882,none,"{""C"": 6, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 5000, ""multi_class"": ""deprecated"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9411764705882353,0.9442970822281167,0.972972972972973,0.9230769230769231,0.9655172413793104,0.9473684210526315,0.8823747062899986,0.9929266136162688,0.9946984200020638,28,1,3,36,0.9032258064516129,0.9655172413793104
