experiment,model,metric,paper_mean,paper_std,reproduced_mean,reproduced_std,absolute_difference,relative_difference,paper_parameters,paper_source
A_author_cleaned_code_grid,LR,balanced_accuracy,0.903,0.09,0.9457682284717484,0.031639803607172626,0.042768228471748326,0.04736237925996492,"{C=1, class_weight='balanced', max_iter=5000, solver='saga'}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,LR,balanced_accuracy,0.903,0.09,0.9296713737805662,0.0333696270511583,0.026671373780566165,0.029536405072609264,"{C=1, class_weight='balanced', max_iter=5000, solver='saga'}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,LR,recall,0.896,0.138,0.9471340159575454,0.03790369068591921,0.05113401595754541,0.05706921423833193,"{C=1, class_weight='balanced', max_iter=5000, solver='saga'}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,LR,recall,0.896,0.138,0.9296212213859272,0.04741674836641472,0.03362122138592716,0.03752368458250799,"{C=1, class_weight='balanced', max_iter=5000, solver='saga'}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,LR,precision,0.922,0.104,0.9446161608053089,0.03906184065282512,0.022616160805308816,0.024529458574087653,"{C=1, class_weight='balanced', max_iter=5000, solver='saga'}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,LR,precision,0.922,0.104,0.9294412126954821,0.03539088041274041,0.007441212695482036,0.00807072960464429,"{C=1, class_weight='balanced', max_iter=5000, solver='saga'}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,LR,mcc,0.822,0.172,0.8916060446546631,0.06379229658918925,0.06960604465466314,0.08467888644119603,"{C=1, class_weight='balanced', max_iter=5000, solver='saga'}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,LR,mcc,0.822,0.172,0.8594073277090747,0.06648325306130252,0.037407327709074734,0.0455076979429133,"{C=1, class_weight='balanced', max_iter=5000, solver='saga'}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,RF,balanced_accuracy,0.94,0.026,0.9388185630700706,0.029978571123747553,0.001181436929929336,0.001256847797797166,"{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 160}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,RF,balanced_accuracy,0.94,0.026,0.9356998683384725,0.032643109909938885,0.004300131661527429,0.004574608150561095,"{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 160}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,RF,recall,0.917,0.043,0.9097560606479013,0.04905686992901541,0.007243939352098772,0.007899606708940863,"{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 160}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,RF,recall,0.917,0.043,0.9183411162917805,0.039143603190713736,0.0013411162917804642,0.0014625041349841485,"{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 160}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,RF,precision,0.965,0.02,0.9649139619949507,0.018534986393428782,8.60380050492493e-05,8.915855445518062e-05,"{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 160}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,RF,precision,0.965,0.02,0.9511593379556966,0.03466358360820496,0.013840662044303342,0.014342654968189993,"{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 160}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,RF,mcc,0.878,0.052,0.8783796580580214,0.059755543108213016,0.00037965805802142594,0.00043241236676699993,"{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 160}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,RF,mcc,0.878,0.052,0.8713073179835492,0.06621266888847198,0.0066926820164507905,0.0076226446656614925,"{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 160}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,KNN,balanced_accuracy,0.903,0.306,0.9037867147670438,0.04080114925413783,0.000786714767043728,0.0008712234408014706,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,KNN,balanced_accuracy,0.903,0.306,0.9112320249243286,0.029244767930155652,0.008232024924328618,0.009116306671460263,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,KNN,recall,0.9,0.043,0.9067737488420601,0.0501979152262145,0.006773748842060057,0.007526387602288952,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,KNN,recall,0.9,0.043,0.9132019417408411,0.04388645669261073,0.013201941740841105,0.014668824156490116,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,KNN,precision,0.911,0.042,0.8997191327717893,0.04524291942459073,0.011280867228210756,0.012382949756543091,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,KNN,precision,0.911,0.042,0.9111930009819005,0.05270864945469617,0.00019300098190044856,0.00021185618210806649,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",Supplementary Table S2; caption/body evaluation ambiguity
