步骤,名称,目的,本次执行,理解要点
1,固定输入与环境,保证第二次是可比较的重复执行,同一作者 commit、Python、依赖、数据；第一次170项产物快照校验通过,仅改两行输出路径；未改算法/网格/阈值
2,审计原始数据,检查模型到底学习什么,420条：210阳性＋210随机对照；作者清洗后339条：161＋178,随机对照不等于实验验证无活性
3,执行作者 Notebook,验证原始代码能否直接运行,原样失败；路径修复后ESM成功、训练Notebook在X_out处中断；保留错误,实际训练用原Notebook提取的完整网格和必要兼容修复
4,重新计算 ESM-2,把不同长度序列转换为定长特征,esm2_t6_8M_UR50D，第6层，残基均值池化，420×320；本次重新前向计算,只复用预训练权重缓存，没有跳过embedding计算
5,核对作者特征,确认编码和样本顺序,339条公开向量按No与原始序列连接；分别与两次重算向量比较,两次一致与作者一致是两种不同检验
6,重新做 CleanLab,识别疑似标签问题,LR＋5折OOF概率＋默认过滤；两次保留353/353条,作者清洗实现缺失；353条是独立重建，不是严格复现339
7,划分与网格搜索,在训练部分比较超参数,先seed2001做80/20划分；271条训练做10折网格，68条初始留出,原源码scoring默认accuracy；另做MCC评分作为B实验
8,重复训练与评估,衡量对划分的敏感程度,固定选出的参数，用seeds0…9再训练/测试；标准差ddof=1,并非挑最好seed；后续测试集与此前调参数据有重叠
9,复现其他模型,确认现象是否只存在于SVM,LR、RF、KNN、SVM、LightGBM完整网格；LSTM原split42＋十次独立划分,RF random_state=None原样保留；LSTM只作Keras标签维度兼容修复
10,比较模型产物,判断两次预测行为是否改变,最终SVM分别在全部339条上refit，再对同一420条作一致性检查,这420条不是新的独立测试集，只用于诊断两模型差别
11,对比论文和作者输出,分清数值差异与定义差异,同时保留论文S2、作者Notebook历史输出、两次重跑和论文固定参数实验,原权重未公开；保存输出至少展示343条，与当前339条不一致
12,保存证据与解释,让每个结论可追溯,两次完整目录＋逐seed指标差＋参数差＋流程图＋哈希,稳定重复不消除原设计泄漏，也不证明生物学有效性
